Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
110,Stevan Ridley,ATL,RB,3,3.0,7,2.3,7.0,0,7,1,33.3,0,0,0
112,Brandon Wilds,NYJ,RB,10,2.5,27,2.7,6.8,0,6,1,10.0,0,0,0
113,Mike Davis,SF,RB,19,2.4,50,2.6,6.2,1,8,4,21.1,0,0,1
114,Andre Ellington,ARI,RB,34,2.1,96,2.8,6.0,0,13,4,11.8,0,0,0
114,Terrence Magee,SEA,RB,3,1.5,12,4.0,6.0,0,5,0,0.0,0,0,0
114,Raheem Mostert,SF,RB,1,1.0,6,6.0,6.0,0,6,0,0.0,0,0,0
117,Daniel Lasco,NO,RB,11,1.6,32,2.9,4.6,0,6,1,9.1,0,0,0
118,Javorius Allen,BAL,RB,9,1.1,34,3.8,4.2,0,7,0,0.0,0,0,0
119,Bobby Rainey,NYG,RB,17,1.1,63,3.7,4.2,0,14,4,23.5,0,0,0
120,Jordan Todman,IND,RB,9,0.6,59,6.6,3.7,0,19,3,33.3,0,0,0
121,Bronson Hill,JAX,RB,2,0.7,11,5.5,3.7,0,7,0,0.0,0,0,0
122,Fitzgerald Toussaint,PIT,RB,14,0.9,58,4.1,3.6,0,16,2,14.3,0,0,0
123,Juwan Thompson,DEN,RB,8,1.0,26,3.3,3.2,1,14,2,25.0,0,0,0
124,Andy Janovich,DEN,FB,4,0.4,33,8.3,3.0,1,28T,2,50.0,1,0,0
125,Jamize Olawale,OAK,FB,17,1.1,47,2.8,2.9,2,17,5,29.4,0,0,0
126,Knile Davis,KC,RB,13,1.4,23,1.8,2.6,0,6,0,0.0,0,0,0
127,Cedric Peerman,CIN,RB,6,1.0,15,2.5,2.5,0,4,0,0.0,0,0,0
128,Malcolm Brown,LA,RB,18,1.1,39,2.2,2.4,0,10,1,5.6,0,0,1
129,Lance Dunbar,DAL,RB,9,0.7,31,3.4,2.4,1,10,3,33.3,0,0,0
130,John Kuhn,NO,FB,18,1.1,37,2.1,2.3,4,4,12,66.7,0,0,0
131,C.J. Spiller,NYJ,RB,3,0.8,9,3.0,2.2,0,4,2,66.7,0,0,0
132,George Atkinson,CLE,RB,7,0.4,34,4.9,2.1,1,11,3,42.9,0,0,0
133,J.D. McKissic,SEA,RB,1,1.0,2,2.0,2.0,0,2,0,0.0,0,0,0
134,Kyle Juszczyk,BAL,FB,5,0.3,22,4.4,1.4,1,10T,3,60.0,0,0,0
135,Travaris Cadet,NO,RB,4,0.3,19,4.8,1.3,0,16,1,25.0,0,0,0
136,Josh Ferguson,IND,RB,15,0.9,20,1.3,1.2,0,11,0,0.0,0,0,0
137,Zach Line,MIN,FB,7,0.5,15,2.1,1.0,0,5,3,42.9,0,0,0
138,Antonio Andrews,TEN,RB,2,0.1,15,7.5,0.9,0,9,0,0.0,0,0,0
139,Jerome Felton,BUF,FB,8,0.5,13,1.6,0.9,0,6,5,62.5,0,0,0
140,Paul Lasike,CHI,FB,3,0.3,8,2.7,0.8,0,5,3,100.0,0,0,0
140,Stepfan Taylor,ARI,RB,4,0.3,12,3.0,0.8,0,12,1,25.0,0,0,0
142,Jay Prosch,HOU,FB,4,0.3,9,2.3,0.6,0,5,3,75.0,0,0,0
143,George Farmer,SEA,RB,1,0.5,1,1.0,0.5,0,1,0,0.0,0,0,0
144,Keith Smith,DAL,FB,2,0.1,5,2.5,0.3,0,3,2,100.0,0,0,0
145,Brandon Bolden,NE,RB,1,0.1,4,4.0,0.3,0,4,0,0.0,0,0,0
145,Will Tukuafu,SEA,FB,2,0.3,2,1.0,0.3,0,2,0,0.0,0,0,0
147,Tyler Ervin,HOU,RB,1,0.1,3,3.0,0.2,0,3,0,0.0,0,0,0
147,Derek Watt,SD,FB,2,0.1,4,2.0,0.2,0,2,2,100.0,0,0,0
149,Jalston Fowler,TEN,FB,1,0.1,3,3.0,0.2,0,3,0,0.0,0,0,0
150,Joe Kerridge,GB,RB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
150,Marcel Reece,SEA,FB,2,0.5,0,0.0,0.0,0,0,0,0.0,0,0,0
150,Lorenzo Taliaferro,BAL,RB,1,0.3,0,0.0,0.0,0,0,0,0.0,0,0,0
153,Reggie Bush,BUF,RB,12,0.9,-3,-0.3,-0.2,1,5,2,16.7,0,0,1
154,Taiwan Jones,OAK,RB,1,0.1,-8,-8.0,-0.6,0,-8,0,0.0,0,0,0
155,Brandon Burks,NYJ,RB,2,2.0,-4,-2.0,-4.0,0,1,0,0.0,0,0,0
