Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Orleans Darkwa,TULN,188,909,46,863,4.59,54,12
Elijah McGuire,ULL,103,871,8,863,8.38,70,8
Brandon Hayes,MEM,201,907,47,860,4.28,32,5
Dak Prescott,MSST,134,917,88,829,6.19,75t,13
Dominique Brown,LOU,163,867,42,825,5.06,77,8
Kendall Brock,NEV,185,842,30,812,4.39,43t,10
Aaron Jones,UTEP,155,849,38,811,5.23,81,4
Desmond Roland,OKST,176,847,36,811,4.61,58t,13
Saylor Lavallii,CMU,182,845,38,807,4.43,42,5
Joshua Quezada,FRES,155,833,26,807,5.21,33t,6
Daniel Sams,KSST,152,853,46,807,5.31,37,11
Bill Belton,PSU,157,828,25,803,5.11,51t,5
James Conner,PITT,146,826,27,799,5.47,45,8
Isaac Bennett,PITT,171,841,44,797,4.66,45t,7
Jarrod Lawson,SJSU,164,809,21,788,4.8,39t,4
Javorius Allen,USC,135,835,50,785,5.81,79t,14
Johnathan Gray,TEX,159,803,23,780,4.91,45t,4
Josh Ferguson,ILL,141,811,32,779,5.52,55t,7
Cole Gautsche,UNM,118,811,34,777,6.58,49t,8
Brandon Ross,MD,166,865,89,776,4.67,36,4
Jaquez Johnson,FAU,172,910,138,772,4.49,60,10
Shadrach Thornton,NCST,165,801,33,768,4.65,72t,4
Trayion Durham,KENT,182,795,29,766,4.21,65,6
Steward Butler,MRSH,87,777,12,765,8.79,72t,8
Marcus Shaw,USF,156,816,51,765,4.9,80t,3
