Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Andre Williams,BC,355,2233,56,2177,6.13,80t,18
Jordan Lynch,NIU,292,2025,105,1920,6.58,61t,23
Ka'Deem Carey,ARIZ,349,1931,46,1885,5.4,58t,19
Bishop Sankey,WASH,327,1931,61,1870,5.72,60t,20
Tre Mason,AUB,317,1835,19,1816,5.73,53t,23
Kapri Bibbs,CSU,281,1786,45,1741,6.2,85t,31
Antonio Andrews,WKU,267,1764,34,1730,6.48,65t,16
Tyler Gaffney,STAN,330,1750,41,1709,5.18,69t,21
Ameer Abdullah,NEB,281,1722,32,1690,6.01,62,9
Melvin Gordon,WISC,206,1650,41,1609,7.81,80t,12
Travis Greene,BGSU,279,1667,73,1594,5.71,33,11
Branden Oliver,BUFF,310,1604,69,1535,4.95,60t,15
Carlos Hyde,OSU,208,1527,6,1521,7.31,55t,15
James White,WISC,221,1484,40,1444,6.53,93t,13
Jay Ajayi,BSU,249,1463,38,1425,5.72,71t,18
Jeremy Langford,MSU,292,1482,60,1422,4.87,44,18
Jeremy Hill,LSU,203,1423,22,1401,6.9,69t,16
Keenan Reynolds,NAVY,300,1524,178,1346,4.49,67t,31
Taysom Hill,BYU,246,1595,251,1344,5.46,68t,10
Trey Watts,TULS,268,1381,52,1329,4.96,45,11
Tim Cornett,UNLV,264,1324,40,1284,4.86,75t,15
Charles Ross,RICE,211,1320,40,1280,6.07,48,15
Adam Muema,SDSU,256,1304,60,1244,4.86,57,15
T.J. Yeldon,ALA,207,1279,44,1235,5.97,68t,14
Jamaal Williams,BYU,217,1260,27,1233,5.68,70t,7
Joey DeMartino,USU,221,1270,49,1221,5.52,60t,13
David Cobb,MINN,237,1240,38,1202,5.07,60,7
Vintavious Cooper,ECU,230,1244,51,1193,5.19,39,13
Mike Davis,SCAR,203,1214,31,1183,5.83,75t,11
Lache Seastrunk,BAY,158,1223,46,1177,7.45,80t,11
Henry Josey,MIZZ,174,1207,41,1166,6.7,86t,16
Essray Taliaferro,MRSH,221,1163,23,1140,5.16,55,10
Storm Johnson,UCF,213,1188,49,1139,5.35,73,14
Rajion Neal,TENN,215,1163,39,1124,5.23,60t,12
Kasey Carrier,UNM,189,1146,24,1122,5.94,68,9
David Fluellen,TOL,167,1134,13,1121,6.71,66t,10
Cameron Stingily,NIU,203,1147,28,1119,5.51,46,9
Terry Baggett,ARMY,141,1141,28,1113,7.89,96t,8
Jahwan Edwards,BALL,212,1129,19,1110,5.24,36t,14
James Sims,KAN,230,1155,45,1110,4.83,68t,7
Bronson Hill,EMU,196,1134,33,1101,5.62,70,5
Charles Sims,WVU,208,1143,48,1095,5.26,76t,11
Brandin Byrd,UNT,202,1120,45,1075,5.32,91t,11
Nick Marshall,AUB,172,1225,157,1068,6.21,62,12
Braxton Miller,OSU,171,1283,215,1068,6.25,70t,12
John Hubert,KSST,198,1111,63,1048,5.29,63t,10
Byron Marshall,ORE,168,1067,29,1038,6.18,49t,14
Kevin Parks,UVA,227,1065,34,1031,4.54,61t,11
Alex Collins,ARK,190,1066,40,1026,5.4,55,4
Roderick McDowell,CLEM,189,1073,48,1025,5.42,45t,5
Devonta Freeman,FSU,173,1045,29,1016,5.87,60t,14
Marion Grice,AZST,191,1028,32,996,5.21,40,14
Todd Gurley,UGA,165,1007,18,989,5.99,75t,10
Zach Zwinak,PSU,210,1004,15,989,4.71,61,12
Shaun Wick,WYO,166,995,16,979,5.9,67,9
Mark Weisman,IOWA,227,1016,41,975,4.3,37,8
Tevin Coleman,IND,131,998,40,958,7.31,75t,12
Brennan Clay,OKLA,175,1006,49,957,5.47,76t,6
B.J. Denker,ARIZ,181,1074,125,949,5.24,54,13
Robert Lowe,TXST,164,970,25,945,5.76,59,9
Alonzo Harris,ULL,199,960,18,942,4.73,65t,14
Darrin Reaves,UAB,201,980,52,928,4.62,50t,12
Duke Johnson,MIA,145,948,28,920,6.34,59,6
Kenneth Dixon,LT,151,981,64,917,6.07,72,4
Jerome Smith,SYR,200,953,39,914,4.57,66t,12
Beau Blankenship,OHIO,204,934,24,910,4.46,53,5
Malcolm Brown,TEX,214,936,32,904,4.22,40,9
Jonathan Williams,ARK,150,919,19,900,6,75t,4
Anthony LaCoste,AF,135,906,16,890,6.59,78t,6
David Sims,GT,161,885,1,884,5.49,39t,11
Jordan Howard,UAB,145,905,24,881,6.08,52,2
Paul James,RUT,156,914,33,881,5.65,65,9
Shock Linwood,BAY,128,894,13,881,6.88,68t,8
Jawon Chisholm,AKR,189,938,69,869,4.6,65t,8
Kareem Hunt,TOL,137,886,20,866,6.32,52t,6
