Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
James White,WISC,156,1086,34,1052,6.74,--,14
Tauren Poole,TENN,204,1085,51,1034,5.07,--,11
Asher Clark,AF,182,1081,50,1031,5.66,--,5
Isaiah Pead,CINN,157,1063,34,1029,6.55,--,6
Evan Royster,PSU,208,1042,28,1014,4.88,--,6
Jared Hassin,ARMY,191,1027,14,1013,5.3,--,9
John Clay,WISC,187,1028,16,1012,5.41,--,14
Montee Ball,WISC,163,1019,23,996,6.11,--,18
Brandon Bolden,MISS,163,1028,52,976,5.99,--,14
Vick Ballard,MSST,186,994,26,968,5.2,--,19
Ricky Dobbs,NAVY,266,1101,134,967,3.64,--,14
Taylor Martinez,NEB,162,1195,230,965,5.96,--,12
Rex Burkhead,NEB,172,990,39,951,5.53,--,7
Alexander Robinson,IAST,202,995,49,946,4.68,--,9
Adam Robinson,IOWA,203,993,52,941,4.64,--,10
Noel Devine,WVU,209,1013,77,936,4.48,--,6
Alfred Morris,FAU,227,983,55,928,4.09,--,7
Phillip Tanner,MTSU,160,978,50,928,5.8,--,13
Orleans Darkwa,TULN,184,958,33,925,5.03,--,11
Ray Graham,PITT,148,958,36,922,6.23,--,8
Thomas Merriweather,MIOH,176,967,46,921,5.23,--,12
J.J. Di Luigi,BYU,178,954,37,917,5.15,--,8
Marc Tyler,USC,171,930,17,913,5.34,--,9
Kendrick Hardy,USM,139,919,16,903,6.5,--,7
Damien Berry,MIA,190,930,31,899,4.73,--,5
Ronnie Weaver,UCF,186,946,56,890,4.78,--,11
Derrick Locke,KY,166,919,32,887,5.34,--,10
Sam McGuffie,RICE,197,947,64,883,4.48,--,6
Alex Allen,AKR,186,939,62,877,4.72,--,8
Mark Ingram,ALA,158,903,28,875,5.54,--,13
Bryce Beall,HOU,163,890,20,870,5.34,--,12
Nathan Scheelhaase,ILL,185,1048,180,868,4.69,--,5
Alexander Teich,NAVY,147,868,5,863,5.87,--,5
Darren Evans,VT,151,886,32,854,5.66,--,11
Pat Shed,UAB,157,901,54,847,5.39,--,3
John Williams,ECU,154,883,36,847,5.5,--,10
Chris Thompson,FSU,134,871,26,845,6.31,--,6
Darriet Perry,FIU,170,865,26,839,4.94,--,16
Chandler Harnish,NIU,137,946,110,836,6.1,--,7
Matt Brown,TEM,162,886,56,830,5.12,--,7
Baron Batch,TTU,177,830,14,816,4.61,--,5
Washaun Ealey,UGA,157,828,17,811,5.17,--,11
Onterio McCalebb,AUB,95,850,40,810,8.53,--,9
Allen Bradford,USC,110,821,27,794,7.22,--,5
Tim Jefferson,AF,154,868,74,794,5.16,--,15
Moise Plancher,USF,176,820,27,793,4.51,--,5
Alvester Alexander,WYO,189,908,116,792,4.19,--,14
Cameron Marshall,AZST,150,813,26,787,5.25,--,9
Derrvin Speight,USU,189,806,27,779,4.12,--,8
Alex Gillett,EMU,179,955,189,766,4.28,--,5
Jamie Harper,CLEM,197,838,78,760,3.86,--,7
Terrelle Pryor,OSU,135,898,144,754,5.59,--,4
Keith Payne,UVA,160,768,19,749,4.68,--,14
James Sims,KAN,168,749,7,742,4.42,--,9
Joshua Nesbitt,GT,166,876,139,737,4.44,--,10
Bernard Pierce,TEM,154,759,31,728,4.73,--,10
Trent Steelman,ARMY,197,841,120,721,3.66,--,11
Josh Harris,WF,126,764,44,720,5.71,--,7
Davin Meggett,MD,126,731,11,720,5.71,--,4
