Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
LaMichael James,ORE,294,1840,109,1731,5.89,--,21
Denard Robinson,MICH,256,1799,97,1702,6.65,--,14
Mikel Leshoure,ILL,281,1746,49,1697,6.04,--,17
Jordan Todman,CONN,334,1758,63,1695,5.07,--,14
Bobby Rainey,WKU,340,1711,62,1649,4.85,--,15
Vai Taua,NEV,284,1623,13,1610,5.67,--,19
Daniel Thomas,KSST,298,1615,30,1585,5.32,--,19
Lance Dunbar,UNT,274,1639,86,1553,5.67,--,13
Kendall Hunter,OKST,271,1594,46,1548,5.71,--,16
Ronnie Hillman,SDSU,262,1600,68,1532,5.85,--,17
Zach Line,SMU,244,1523,29,1494,6.12,--,10
Cam Newton,AUB,264,1662,189,1473,5.58,--,20
Chris Polk,WASH,260,1465,50,1415,5.44,--,9
Bilal Powell,LOU,229,1488,83,1405,6.14,--,11
Chad Spann,NIU,258,1429,41,1388,5.38,--,22
Knile Davis,ARK,204,1362,40,1322,6.48,--,13
Rodney Stewart,COL,290,1364,46,1318,4.54,--,10
Anthony Allen,GT,240,1346,30,1316,5.48,--,7
Doug Martin,BSU,201,1289,29,1260,6.27,--,12
Roy Helu,NEB,188,1292,47,1245,6.62,--,11
Montel Harris,BC,269,1278,35,1243,4.62,--,8
Delone Carter,SYR,231,1260,27,1233,5.34,--,9
Jay Finley,BAY,195,1245,27,1218,6.25,--,12
DeMarco Murray,OKLA,282,1253,39,1214,4.3,--,15
Colin Kaepernick,NEV,173,1309,103,1206,6.97,--,20
Edwin Baker,MSU,207,1246,45,1201,5.8,--,13
Alex Green,HAW,146,1235,36,1199,8.21,--,18
Marcus Lattimore,SCAR,249,1230,33,1197,4.81,--,17
Jacquizz Rodgers,ORST,256,1258,74,1184,4.62,--,14
Lennon Creer,LT,212,1248,67,1181,5.57,--,10
Shane Vereen,CAL,231,1225,58,1167,5.05,--,13
Dan Herron,OSU,216,1196,41,1155,5.35,--,16
Stevan Ridley,LSU,249,1187,40,1147,4.61,--,15
Stepfan Taylor,STAN,223,1175,38,1137,5.1,--,15
Cyrus Gray,TAMU,200,1180,47,1133,5.67,--,12
Robbie Rouse,FRES,205,1177,48,1129,5.51,--,8
Johnathan Franklin,UCLA,214,1193,66,1127,5.27,--,8
Adonis Thomas,TOL,175,1133,35,1098,6.27,--,8
Michael Dyer,AUB,182,1106,13,1093,6.01,--,5
Ed Wesley,TCU,166,1093,15,1078,6.49,--,11
Dion Lewis,PITT,219,1088,27,1061,4.84,--,13
