Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
1,Adrian Peterson,MIN,RB,348,21.8,"2,097",6.0,131.1,12,82T,85,24.4,27,8,3
2,Alfred Morris,WAS,RB,335,20.9,"1,613",4.8,100.8,13,39T,83,24.8,9,0,4
3,Marshawn Lynch,SEA,RB,315,19.7,"1,590",5.0,99.4,11,77T,68,21.6,9,2,4
4,Jamaal Charles,KC,RB,285,17.8,"1,509",5.3,94.3,5,91T,62,21.8,11,5,5
5,Doug Martin,TB,RB,319,19.9,"1,454",4.6,90.9,11,70T,58,18.2,11,5,1
6,Arian Foster,HOU,RB,351,21.9,"1,424",4.1,89.0,15,46,78,22.2,9,1,3
7,Stevan Ridley,NE,RB,290,18.1,"1,263",4.4,78.9,12,41,82,28.3,6,1,4
8,C.J. Spiller,BUF,RB,207,12.9,"1,244",6.0,77.8,6,62,52,25.1,12,5,2
9,Chris Johnson,TEN,RB,276,17.2,"1,243",4.5,77.7,6,94T,45,16.3,8,3,3
10,Frank Gore,SF,RB,258,16.1,"1,214",4.7,75.9,8,37,67,26.0,7,0,2
11,Willis McGahee,DEN,RB,167,16.7,731,4.4,73.1,4,31,43,25.7,2,0,5
12,Matt Forte,CHI,RB,248,16.5,"1,094",4.4,72.9,5,46,45,18.1,6,1,2
12,BenJarvus Green-Ellis,CIN,RB,278,18.5,"1,094",3.9,72.9,6,48,54,19.4,7,2,3
14,Ahmad Bradshaw,NYG,RB,221,15.8,"1,015",4.6,72.5,6,37,56,25.3,4,0,3
15,Ray Rice,BAL,RB,257,16.1,"1,143",4.4,71.4,9,46,51,19.8,5,2,1
16,LeSean McCoy,PHI,RB,200,16.7,840,4.2,70.0,2,34,45,22.5,7,0,4
17,Maurice Jones-Drew,JAC,RB,86,14.3,414,4.8,69.0,1,59T,21,24.4,3,1,1
18,Shonn Greene,NYJ,RB,276,17.2,"1,063",3.9,66.4,8,36,52,18.8,2,0,3
19,DeMarco Murray,DAL,RB,161,16.1,663,4.1,66.3,4,48,39,24.2,5,1,2
20,Knowshon Moreno,DEN,RB,138,17.2,525,3.8,65.6,4,20,32,23.2,1,0,1
21,Steven Jackson,STL,RB,258,16.1,"1,045",4.1,65.3,4,46,47,18.2,5,1,0
22,Trent Richardson,CLE,RB,267,17.8,950,3.6,63.3,11,32T,36,13.5,2,0,3
23,Reggie Bush,MIA,RB,227,14.2,986,4.3,61.6,6,65T,43,18.9,6,2,4
24,Ryan Mathews,SD,RB,184,15.3,707,3.8,58.9,1,31,34,18.5,1,0,2
