Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
1,Adrian Peterson,MIN,RB,327,20.4,"1,485",4.5,92.8,11,80T,71,21.7,10,4,6
2,Le'Veon Bell,PIT,RB,113,18.8,556,4.9,92.7,3,42,27,23.9,8,1,0
3,Doug Martin,TB,RB,288,18.0,"1,402",4.9,87.6,6,84,61,21.2,14,4,4
4,Todd Gurley,STL,RB,229,17.6,"1,106",4.8,85.1,10,71T,45,19.7,11,5,3
5,Jonathan Stewart,CAR,RB,242,18.6,989,4.1,76.1,6,44,41,16.9,4,1,3
6,LeSean McCoy,BUF,RB,203,16.9,895,4.4,74.6,3,48T,42,20.7,6,1,1
7,Chris Johnson,ARI,RB,196,17.8,814,4.2,74.0,3,62,31,15.8,6,2,2
8,Jamaal Charles,KC,RB,71,14.2,364,5.1,72.8,4,34T,21,29.6,2,0,2
9,Chris Ivory,NYJ,RB,247,16.5,"1,070",4.3,71.3,7,58,50,20.2,9,2,3
10,Devonta Freeman,ATL,RB,265,17.7,"1,056",4.0,70.4,11,39,67,25.3,6,0,2
11,DuJuan Harris,SF,RB,27,13.5,140,5.2,70.0,0,47,6,22.2,3,1,0
12,Matt Forte,CHI,RB,218,16.8,898,4.1,69.1,4,27,46,21.1,4,0,1
13,Darren McFadden,DAL,RB,239,14.9,"1,089",4.6,68.1,3,50,52,21.8,9,2,3
14,Carlos Hyde,SF,RB,115,16.4,470,4.1,67.1,3,22,25,21.7,1,0,1
15,Latavius Murray,OAK,RB,266,16.6,"1,066",4.0,66.6,6,54,49,18.4,9,2,3
16,Justin Forsett,BAL,RB,151,15.1,641,4.2,64.1,2,33,41,27.2,5,0,0
17,Mark Ingram,NO,RB,166,13.8,769,4.6,64.1,6,70,44,26.5,5,2,1
18,Christine Michael,SEA,RB,39,13.0,192,4.9,64.0,0,45,10,25.6,1,1,0
19,Thomas Rawls,SEA,RB,147,11.3,830,5.6,63.8,4,69T,37,25.2,7,1,1
20,T.J. Yeldon,JAC,RB,182,15.2,740,4.1,61.7,2,45,25,13.7,4,1,0
21,Frank Gore,IND,RB,260,16.2,967,3.7,60.4,6,37T,44,16.9,5,0,4
22,Marshawn Lynch,SEA,RB,111,15.9,417,3.8,59.6,3,24,29,26.1,1,0,0
23,LeGarrette Blount,NE,RB,165,13.8,703,4.3,58.6,6,38T,37,22.4,4,0,1
24,DeAngelo Williams,PIT,RB,200,12.5,907,4.5,56.7,11,55,51,25.5,6,2,3
25,Lamar Miller,MIA,RB,194,12.1,872,4.5,54.5,8,85T,40,20.6,7,1,1
26,Ronnie Hillman,DEN,RB,207,12.9,863,4.2,53.9,7,72T,43,20.8,5,1,2
26,Rashad Jennings,NYG,RB,195,12.2,863,4.4,53.9,3,38T,40,20.5,6,0,1
28,Mike Gillislee,BUF,RB,47,9.4,267,5.7,53.4,3,60T,8,17.0,3,2,1
29,Joseph Randle,DAL,RB,76,12.7,315,4.1,52.5,4,37T,15,19.7,3,0,1
30,Eddie Lacy,GB,RB,187,12.5,758,4.1,50.5,3,29,39,20.9,4,0,3
31,Jeremy Hill,CIN,RB,223,13.9,794,3.6,49.6,11,38T,45,20.2,1,0,3
32,C.J. Anderson,DEN,RB,152,10.1,720,4.7,48.0,5,48T,33,21.7,5,1,2
33,Karlos Williams,BUF,RB,93,8.5,517,5.6,47.0,7,41T,25,26.9,5,1,1
34,Alfred Morris,WAS,RB,202,12.6,751,3.7,46.9,1,48,32,15.8,4,1,0
35,Tim Hightower,NO,RB,96,12.0,375,3.9,46.9,4,26,25,26.0,1,0,0
36,DeMarco Murray,PHI,RB,193,12.9,702,3.6,46.8,6,54T,47,24.4,5,1,2
37,Melvin Gordon,SD,RB,184,13.1,641,3.5,45.8,0,27,33,17.9,6,0,5
38,Giovani Bernard,CIN,RB,154,9.6,730,4.7,45.6,2,28,34,22.1,2,0,0
39,Isaiah Crowell,CLE,RB,185,11.6,706,3.8,44.1,4,54,34,18.4,5,2,0
40,Shaun Draughn,SF,RB,76,12.7,263,3.5,43.8,1,30,13,17.1,1,0,1
41,Alfred Blue,HOU,RB,183,11.4,698,3.8,43.6,2,41,33,18.0,2,1,2
42,Charcandrick West,KC,RB,160,10.7,634,4.0,42.3,4,38T,35,21.9,4,0,1
43,Ryan Mathews,PHI,RB,106,8.2,539,5.1,41.5,6,63T,32,30.2,6,1,3
44,Arian Foster,HOU,RB,63,15.8,163,2.6,40.8,1,16,11,17.5,0,0,2
45,Matt Jones,WAS,RB,144,11.1,490,3.4,37.7,3,39T,30,20.8,3,0,4
46,James Starks,GB,RB,148,9.2,601,4.1,37.6,2,65T,29,19.6,5,1,4
47,Ameer Abdullah,DET,RB,143,8.9,597,4.2,37.3,2,36,27,18.9,4,0,4
48,Antonio Andrews,TEN,RB,143,10.2,520,3.6,37.1,3,38,28,19.6,4,0,1
49,Spencer Ware,KC,RB,72,6.5,403,5.6,36.6,6,52,19,26.4,4,1,0
50,David Johnson,ARI,RB,125,7.8,581,4.6,36.3,8,47T,34,27.2,3,1,2
51,Jeremy Langford,CHI,RB,148,9.2,537,3.6,33.6,6,23,28,18.9,1,0,0
52,Dion Lewis,NE,RB,49,7.0,234,4.8,33.4,2,13,15,30.6,0,0,0
53,Charles Sims,TB,RB,107,6.7,529,4.9,33.1,0,59,20,18.7,4,1,1
54,Tevin Coleman,ATL,RB,87,7.2,392,4.5,32.7,1,46,14,16.1,2,1,3
55,Javorius Allen,BAL,RB,137,8.6,514,3.8,32.1,1,44,28,20.4,2,1,2
56,Terrance West,BAL,RB,46,7.7,180,3.9,30.0,0,17,8,17.4,0,0,0
57,Andre Ellington,ARI,RB,45,4.5,289,6.4,28.9,3,63T,11,24.4,2,2,1
58,Bilal Powell,NYJ,RB,70,6.4,313,4.5,28.5,1,24,18,25.7,3,0,1
59,Jonas Gray,JAC,RB,14,7.0,54,3.9,27.0,0,23,3,21.4,1,0,0
60,Cameron Artis-Payne,CAR,RB,45,6.4,183,4.1,26.1,1,31,6,13.3,2,0,0
61,Joey Iosefa,NE,FB,15,7.5,51,3.4,25.5,0,15,2,13.3,0,0,0
62,Steven Jackson,NE,RB,21,10.5,50,2.4,25.0,1,7,4,19.0,0,0,0
63,Bryce Brown,SEA,RB,25,8.3,72,2.9,24.0,1,18,6,24.0,0,0,0
64,Joique Bell,DET,RB,90,6.9,311,3.5,23.9,4,36,18,20.0,2,0,1
65,Duke Johnson,CLE,RB,104,6.5,379,3.6,23.7,0,39,19,18.3,2,0,0
66,Kerwynn Williams,ARI,RB,27,4.5,142,5.3,23.7,1,35T,6,22.2,1,0,1
67,Donald Brown,SD,RB,59,5.9,229,3.9,22.9,1,53,12,20.3,2,1,0
68,Khiry Robinson,NO,RB,56,7.0,180,3.2,22.5,4,14,14,25.0,0,0,0
69,Dexter McCluster,TEN,RB,55,5.0,247,4.5,22.5,1,44,6,10.9,2,1,1
70,Chris Polk,HOU,RB,99,6.6,334,3.4,22.3,1,20,13,13.1,1,0,0
71,Danny Woodhead,SD,RB,98,6.1,336,3.4,21.0,3,27,21,21.4,1,0,0
72,David Cobb,TEN,RB,52,7.4,146,2.8,20.9,1,12,6,11.5,0,0,0
73,Jay Ajayi,MIA,RB,49,5.4,187,3.8,20.8,1,24,7,14.3,3,0,0
74,Denard Robinson,JAC,RB,67,5.2,266,4.0,20.5,1,31,10,14.9,1,0,3
75,Jonathan Grimes,HOU,RB,56,4.0,282,5.0,20.1,1,37,11,19.6,2,0,0
76,Robert Turbin,DAL,RB,32,4.6,139,4.3,19.9,1,22,7,21.9,1,0,0
77,Darren Sproles,PHI,RB,83,5.2,317,3.8,19.8,3,27,21,25.3,1,0,0
78,Malcolm Brown,STL,RB,4,4.0,17,4.3,17.0,0,13,1,25.0,0,0,0
79,Jerick McKinnon,MIN,RB,52,3.2,271,5.2,16.9,2,68T,12,23.1,1,1,0
80,Lance Dunbar,DAL,RB,5,1.2,67,13.4,16.8,0,45,1,20.0,1,1,0
81,Chris Thompson,WAS,RB,35,2.7,216,6.2,16.6,0,42,7,20.0,3,1,1
82,Shane Vereen,NYG,RB,61,3.8,260,4.3,16.2,0,39,13,21.3,1,0,0
83,Andre Williams,NYG,RB,88,5.5,257,2.9,16.1,1,35,11,12.5,1,0,0
84,Mike Tolbert,CAR,FB,62,3.9,256,4.1,16.0,1,29,18,29.0,1,0,0
85,Tre Mason,STL,RB,75,5.8,207,2.8,15.9,1,15,10,13.3,0,0,3
86,Lorenzo Taliaferro,BAL,RB,13,4.3,47,3.6,15.7,1,7T,2,15.4,0,0,0
87,Bishop Sankey,TEN,RB,47,3.6,193,4.1,14.8,1,16,5,10.6,0,0,1
88,Ka'Deem Carey,CHI,RB,43,3.9,159,3.7,14.5,2,11,13,30.2,0,0,1
89,Ahmad Bradshaw,IND,RB,31,5.2,85,2.7,14.2,0,23,5,16.1,1,0,0
90,Brandon Bolden,NE,RB,63,4.2,207,3.3,13.8,0,14,9,14.3,0,0,0
91,Akeem Hunt,HOU,RB,17,2.4,96,5.6,13.7,0,25,6,35.3,2,0,0
92,Branden Oliver,SD,RB,31,3.9,108,3.5,13.5,0,15,8,25.8,0,0,0
93,Pierre Thomas,WAS,RB,11,2.8,52,4.7,13.0,0,11,2,18.2,0,0,0
94,Kenjon Barner,PHI,RB,28,2.8,124,4.4,12.4,0,19,6,21.4,0,0,1
95,Stevan Ridley,NYJ,RB,36,4.5,90,2.5,11.2,0,13,5,13.9,0,0,0
96,Zac Stacy,NYJ,RB,31,3.9,89,2.9,11.1,1,18,4,12.9,0,0,0
97,John Crockett,GB,RB,9,4.5,21,2.3,10.5,0,12,2,22.2,0,0,0
98,Zach Zenner,DET,FB,17,2.8,60,3.5,10.0,0,12,1,5.9,0,0,0
99,Mike Davis,SF,RB,35,5.8,58,1.7,9.7,0,13,5,14.3,0,0,0
100,Orleans Darkwa,NYG,RB,36,2.2,153,4.3,9.6,1,17,7,19.4,0,0,0
101,Benny Cunningham,STL,RB,37,2.3,140,3.8,8.8,0,40,6,16.2,1,1,1
102,C.J. Spiller,NO,RB,36,2.8,112,3.1,8.6,0,11,5,13.9,0,0,1
103,Fitzgerald Toussaint,PIT,RB,18,3.6,42,2.3,8.4,0,7,0,0.0,0,0,0
104,Theo Riddick,DET,RB,43,2.7,133,3.1,8.3,0,16,6,14.0,0,0,1
