Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
105,Jacquizz Rodgers,CHI,RB,14,2.8,41,2.9,8.2,0,5,3,21.4,0,0,0
106,Jamize Olawale,OAK,RB,24,1.7,110,4.6,7.9,1,19T,9,37.5,0,0,0
107,Josh Robinson,IND,RB,17,3.4,39,2.3,7.8,0,8,0,0.0,0,0,1
108,Terron Ward,ATL,RB,29,2.2,95,3.3,7.3,1,13,5,17.2,0,0,0
109,Fozzy Whittaker,CAR,RB,25,1.7,108,4.3,7.2,1,16T,7,28.0,0,0,0
110,Matt Asiata,MIN,RB,29,1.8,112,3.9,7.0,0,19,3,10.3,0,0,0
110,Dan Herron,IND,RB,14,2.3,42,3.0,7.0,0,6,3,21.4,0,0,0
112,Jarryd Hayne,SF,RB,17,2.1,52,3.1,6.5,0,11,4,23.5,0,0,0
113,Toby Gerhart,JAC,RB,20,2.9,44,2.2,6.3,0,6,3,15.0,0,0,0
114,Fred Jackson,SEA,RB,26,1.6,100,3.8,6.2,0,16,5,19.2,0,0,0
115,Taiwan Jones,OAK,RB,16,1.3,74,4.6,6.2,0,19,3,18.8,0,0,1
116,Travaris Cadet,NO,RB,4,2.0,12,3.0,6.0,0,6,0,0.0,0,0,1
116,Trey Williams,IND,RB,2,1.0,12,6.0,6.0,0,12,1,50.0,0,0,0
118,Reggie Bush,SF,RB,8,1.6,28,3.5,5.6,0,9,0,0.0,0,0,0
119,Knile Davis,KC,RB,28,2.0,72,2.6,5.1,1,10,5,17.9,0,0,0
120,Roy Helu,OAK,RB,17,1.9,39,2.3,4.3,0,12,4,23.5,0,0,0
121,Kendall Gaskins,SF,RB,16,1.8,38,2.4,4.2,0,14,3,18.8,0,0,0
122,James White,NE,RB,22,1.6,56,2.5,4.0,2,8,3,13.6,0,0,0
123,Damien Williams,MIA,RB,16,1.0,59,3.7,3.7,0,19,2,12.5,0,0,1
124,Stepfan Taylor,ARI,RB,17,1.1,58,3.4,3.6,0,16,5,29.4,0,0,0
125,Juwan Thompson,DEN,RB,18,1.2,48,2.7,3.2,0,12,2,11.1,0,0,0
126,Anthony Dixon,BUF,RB,21,1.3,44,2.1,2.8,1,6,5,23.8,0,0,0
127,Marcel Reece,OAK,FB,10,0.7,36,3.6,2.4,0,12,2,20.0,0,0,0
128,Derrick Coleman,SEA,FB,8,0.6,32,4.0,2.3,0,19,3,37.5,0,0,0
129,Antone Smith,CHI,RB,1,0.2,11,11.0,2.2,0,11,1,100.0,0,0,0
130,Jay Prosch,HOU,FB,6,0.4,33,5.5,2.1,0,16,3,50.0,0,0,0
131,Zurlon Tipton,IND,RB,5,0.5,20,4.0,2.0,0,7,1,20.0,0,0,0
131,Jordan Todman,PIT,RB,4,0.4,22,5.5,2.0,0,11,1,25.0,0,0,0
133,John Kuhn,GB,FB,9,0.6,28,3.1,1.8,2,5T,3,33.3,0,0,0
134,Bernard Pierce,JAC,RB,6,0.9,11,1.8,1.6,0,4,0,0.0,0,0,0
135,Cierre Wood,BUF,RB,2,1.0,3,1.5,1.5,0,3,0,0.0,0,0,0
136,Terrence Magee,BAL,RB,2,0.5,5,2.5,1.2,0,4,0,0.0,0,0,0
137,Bobby Rainey,TB,RB,5,0.3,18,3.6,1.1,0,7,0,0.0,0,0,1
138,Kendall Hunter,NO,RB,1,0.5,2,2.0,1.0,0,2,0,0.0,0,0,0
139,Austin Johnson,NO,FB,4,0.4,9,2.3,0.9,1,4,3,75.0,0,0,0
140,Bruce Miller,SF,FB,6,0.4,14,2.3,0.9,1,4,5,83.3,0,0,0
141,Jalston Fowler,TEN,FB,7,0.4,13,1.9,0.8,1,3,5,71.4,0,0,0
142,Tyler Varga,IND,FB,1,0.3,2,2.0,0.7,0,2,0,0.0,0,0,0
143,Zach Line,MIN,FB,6,0.4,10,1.7,0.6,2,3,3,50.0,0,0,0
143,Darrel Young,WAS,FB,6,0.4,10,1.7,0.6,0,5,1,16.7,0,0,1
145,Will Johnson,PIT,FB,4,0.2,7,1.8,0.4,1,6,1,25.0,0,0,0
146,Corey Grant,JAC,RB,6,1.0,2,0.3,0.3,0,11,1,16.7,0,0,1
147,Rex Burkhead,CIN,RB,4,0.2,4,1.0,0.2,0,2,0,0.0,0,0,1
148,Kyle Juszczyk,BAL,FB,2,0.1,3,1.5,0.2,0,2,0,0.0,0,0,0
149,George Winn,DET,RB,4,0.6,1,0.3,0.1,0,2,0,0.0,0,0,0
150,Tommy Bohanon,NYJ,FB,2,0.1,2,1.0,0.1,0,2,0,0.0,0,0,0
150,Michael Burton,DET,FB,4,0.2,2,0.5,0.1,0,2,1,25.0,0,0,0
150,Jerome Felton,BUF,FB,1,0.1,2,2.0,0.1,0,2,1,100.0,0,0,0
153,Will Tukuafu,SEA,FB,4,0.3,1,0.3,0.1,1,4,3,75.0,0,0,1
154,Patrick DiMarco,ATL,FB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
154,Jorvorskie Lane,TB,FB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
154,Marcus Murphy,NO,RB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
154,Anthony Sherman,KC,FB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
158,Glenn Winston,CLE,RB,1,0.3,-8,-8.0,-2.7,0,-8,0,0.0,0,0,1
