Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
1,Maurice Jones-Drew,JAC,RB,343,21.4,"1,606",4.7,100.4,8,56,75,21.9,9,3,3
2,Arian Foster,HOU,RB,278,21.4,"1,224",4.4,94.2,10,43,58,20.9,7,2,4
3,Fred Jackson,BUF,RB,170,17.0,934,5.5,93.4,6,80T,40,23.5,10,3,2
4,Darren McFadden,OAK,RB,113,16.1,614,5.4,87.7,4,70T,23,20.4,8,3,1
5,LeSean McCoy,PHI,RB,273,18.2,"1,309",4.8,87.3,17,60,84,30.8,14,2,1
6,Ray Rice,BAL,RB,291,18.2,"1,364",4.7,85.2,12,70T,52,17.9,9,5,2
7,Michael Turner,ATL,RB,301,18.8,"1,340",4.5,83.8,11,81T,62,20.6,11,4,3
8,Matt Forte,CHI,RB,203,16.9,997,4.9,83.1,3,46,40,19.7,12,4,1
9,Adrian Peterson,MIN,RB,208,17.3,970,4.7,80.8,12,54,49,23.6,7,3,1
10,Marshawn Lynch,SEA,RB,285,19.0,"1,204",4.2,80.3,12,47,63,22.1,4,2,3
11,Willis McGahee,DEN,RB,249,16.6,"1,199",4.8,79.9,4,60T,52,20.9,10,1,3
12,Ryan Mathews,SD,RB,222,15.9,"1,091",4.9,77.9,6,39,52,23.4,9,0,5
13,Steven Jackson,STL,RB,260,17.3,"1,145",4.4,76.3,5,47T,50,19.2,6,2,1
14,Frank Gore,SF,RB,282,17.6,"1,211",4.3,75.7,8,55,53,18.8,11,3,2
15,Beanie Wells,ARI,RB,245,17.5,"1,047",4.3,74.8,10,71,48,19.6,5,2,4
16,Reggie Bush,MIA,RB,216,14.4,"1,086",5.0,72.4,6,76T,40,18.5,7,1,4
17,Cedric Benson,CIN,RB,273,18.2,"1,067",3.9,71.1,6,42,53,19.4,4,1,5
18,DeMarco Murray,DAL,RB,164,12.6,897,5.5,69.0,2,91T,41,25.0,7,2,1
19,Shonn Greene,NYJ,RB,253,15.8,"1,054",4.2,65.9,6,31,46,18.2,4,0,1
20,Chris Johnson,TEN,RB,262,16.4,"1,047",4.0,65.4,4,48T,47,17.9,11,1,3
21,Jahvid Best,DET,RB,84,14.0,390,4.6,65.0,2,88T,15,17.9,2,2,0
22,Tim Hightower,WAS,RB,84,16.8,321,3.8,64.2,1,22,13,15.5,2,0,0
23,Ben Tate,HOU,RB,175,11.7,942,5.4,62.8,4,56,52,29.7,6,2,4
24,Chris Ivory,NO,RB,79,13.2,374,4.7,62.3,1,35T,21,26.6,2,0,0
25,Rashard Mendenhall,PIT,RB,228,15.2,928,4.1,61.9,9,68,45,19.7,3,2,1
26,Michael Bush,OAK,RB,256,16.0,977,3.8,61.1,7,44,53,20.7,5,1,1
27,Peyton Hillis,CLE,RB,161,16.1,587,3.6,58.7,3,24T,33,20.5,1,0,1
28,LeGarrette Blount,TB,RB,184,13.1,781,4.2,55.8,5,54T,32,17.4,4,1,3
29,Ahmad Bradshaw,NYG,RB,171,14.2,659,3.9,54.9,9,37,42,24.6,3,0,0
30,Evan Royster,WAS,RB,56,9.3,328,5.9,54.7,0,28,17,30.4,2,0,0
31,DeAngelo Williams,CAR,RB,155,9.7,836,5.4,52.2,7,74T,32,20.6,11,2,0
32,Kevin Smith,DET,RB,72,10.3,356,4.9,50.9,4,43,16,22.2,2,1,0
33,Felix Jones,DAL,RB,127,10.6,575,4.5,47.9,1,40,27,21.3,4,1,3
34,Jonathan Stewart,CAR,RB,142,8.9,761,5.4,47.6,4,32,47,33.1,6,0,1
35,Mark Ingram,NO,RB,122,12.2,474,3.9,47.4,5,35T,30,24.6,2,0,1
36,Daniel Thomas,MIA,RB,165,12.7,581,3.5,44.7,0,28,24,14.5,2,0,2
37,James Starks,GB,RB,133,10.2,578,4.3,44.5,1,40,31,23.3,5,1,2
38,Roy Helu,WAS,RB,151,10.1,640,4.2,42.7,2,28T,31,20.5,4,0,1
39,BenJarvus Green-Ellis,NE,RB,181,11.3,667,3.7,41.7,11,18,41,22.7,0,0,0
40,Jamaal Charles,KC,RB,12,6.0,83,6.9,41.5,0,24,3,25.0,2,0,1
41,Brandon Jacobs,NYG,RB,152,10.9,571,3.8,40.8,7,28,32,21.1,1,0,3
42,Donald Brown,IND,RB,134,8.4,645,4.8,40.3,5,80T,26,19.4,4,1,0
43,Jackie Battle,KC,RB,149,9.9,597,4.0,39.8,2,34,27,18.1,3,0,0
44,Marion Barber,CHI,RB,114,10.4,422,3.7,38.4,6,29,26,22.8,2,0,1
45,Darren Sproles,NO,RB,87,5.4,603,6.9,37.7,2,36,27,31.0,7,0,0
46,Ryan Grant,GB,RB,134,8.9,559,4.2,37.3,2,47T,27,20.1,2,1,1
47,Joseph Addai,IND,RB,118,9.8,433,3.7,36.1,1,16,16,13.6,0,0,1
48,Pierre Thomas,NO,RB,110,6.9,562,5.1,35.1,5,33,28,25.5,2,0,1
49,C.J. Spiller,BUF,RB,107,6.7,561,5.2,35.1,4,38,26,24.3,7,0,2
50,Toby Gerhart,MIN,RB,109,6.8,531,4.9,33.2,1,67,24,22.0,3,1,1
51,Cadillac Williams,STL,RB,87,7.9,361,4.1,32.8,1,23,19,21.8,1,0,0
52,Sammy Morris,DAL,RB,28,9.3,98,3.5,32.7,0,15,7,25.0,0,0,0
52,Mike Tolbert,SD,RB,121,8.1,490,4.0,32.7,8,40,25,20.7,3,1,1
54,Dexter McCluster,KC,RB,114,7.1,516,4.5,32.2,1,32,28,24.6,4,0,1
55,Chris Ogbonnaya,CLE,RB,73,6.6,334,4.6,30.4,1,40,13,17.8,3,1,2
56,Isaac Redman,PIT,RB,110,6.9,479,4.4,29.9,3,27,29,26.4,3,0,2
57,Thomas Jones,KC,RB,153,9.6,478,3.1,29.9,0,26,19,12.4,3,0,0
58,Kendall Hunter,SF,RB,112,7.0,473,4.2,29.6,2,44,21,18.8,3,1,0
59,Earnest Graham,TB,RB,37,5.3,206,5.6,29.4,0,34,6,16.2,2,0,1
60,Ricky Williams,BAL,RB,108,6.8,444,4.1,27.8,2,28,20,18.5,3,0,2
61,Stevan Ridley,NE,RB,87,5.4,441,5.1,27.6,1,33T,18,20.7,5,0,1
62,Montario Hardesty,CLE,RB,88,8.8,266,3.0,26.6,0,19,6,6.8,0,0,1
63,Kahlil Bell,CHI,RB,79,6.1,337,4.3,25.9,0,26,13,16.5,2,0,2
64,Knowshon Moreno,DEN,RB,37,5.3,179,4.8,25.6,0,24,5,13.5,2,0,1
65,Lance Ball,DEN,RB,96,6.0,402,4.2,25.1,1,34,25,26.0,2,0,1
66,Ryan Torain,WAS,RB,59,7.4,200,3.4,25.0,1,39,5,8.5,2,0,1
67,Armando Allen,CHI,RB,15,7.5,48,3.2,24.0,0,13,3,20.0,0,0,0
68,Bernard Scott,CIN,RB,112,7.0,380,3.4,23.8,3,25T,20,17.9,1,0,0
69,Delone Carter,IND,RB,101,6.3,377,3.7,23.6,2,42,19,18.8,2,1,3
70,Danny Woodhead,NE,RB,77,5.1,351,4.6,23.4,1,12,18,23.4,0,0,0
71,Steve Slaton,MIA,RB,17,5.7,64,3.8,21.3,1,28,2,11.8,1,0,0
72,John Clay,PIT,RB,10,5.0,41,4.1,20.5,1,10T,1,10.0,0,0,0
73,LaDainian Tomlinson,NYJ,RB,75,5.4,280,3.7,20.0,1,20,15,20.0,1,0,0
74,Maurice Morris,DET,RB,80,5.0,316,4.0,19.8,1,31,12,15.0,1,0,1
75,Jonathan Dwyer,PIT,RB,16,2.3,123,7.7,17.6,0,76,2,12.5,1,1,0
76,Leon Washington,SEA,RB,53,3.3,248,4.7,15.5,1,48T,8,15.1,3,1,0
77,Javon Ringer,TEN,RB,59,4.9,185,3.1,15.4,1,25,7,11.9,1,0,0
78,Mewelde Moore,PIT,RB,22,1.8,157,7.1,13.1,0,21,6,27.3,1,0,1
