Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,Alfred Morris,WAS,RB,335,20.9,1613,4.8,100.8,13,39T,83,24.8,9,0,4
2,Doug Martin,TB,RB,319,19.9,1454,4.6,90.9,11,70T,58,18.2,11,5,1
3,Trent Richardson,CLE,RB,267,17.8,950,3.6,63.3,11,32T,36,13.5,2,0,3
4,Vick Ballard,IND,RB,211,13.2,814,3.9,50.9,2,26,50,23.7,4,0,3
5,Bryce Brown,PHI,RB,115,7.2,564,4.9,35.2,4,65T,33,28.7,6,2,4
6,Bernard Pierce,BAL,RB,108,6.8,532,4.9,33.2,1,78,21,19.4,3,1,0
7,LaMichael James,SF,RB,27,6.8,125,4.6,31.2,0,26,8,29.6,1,0,1
8,Daryl Richardson,STL,RB,98,6.1,475,4.8,29.7,0,53,19,19.4,4,2,2
9,Brandon Bolden,NE,RB,56,5.6,274,4.9,27.4,2,27,18,32.1,4,0,0
10,Jeremy Stewart,OAK,FB,25,6.2,101,4,25.2,0,14,3,12,0,0,0
11,Ronnie Hillman,DEN,RB,85,6.1,330,3.9,23.6,1,31,19,22.4,3,0,2
12,David Wilson,NYG,RB,71,4.4,358,5,22.4,4,52T,17,23.9,5,2,1
13,Robert Turbin,SEA,RB,80,5,354,4.4,22.1,0,26,15,18.8,2,0,0
14,Lamar Miller,MIA,RB,51,3.9,250,4.9,19.2,1,28,12,23.5,2,0,0
15,Richard Murphy,JAC,RB,23,4.6,92,4,18.4,0,14,3,13,0,0,0
16,Collin Mooney,TEN,RB,5,2.5,19,3.8,9.5,0,8,2,40,0,0,0
17,Chris Rainey,PIT,RB,26,1.6,102,3.9,6.4,2,19,5,19.2,0,0,0
18,Lance Dunbar,DAL,RB,21,1.8,75,3.6,6.2,0,18,5,23.8,0,0,0
19,Cyrus Gray,KC,RB,7,0.7,44,6.3,4.4,0,15,3,42.9,0,0,0
20,Isaiah Pead,STL,RB,10,0.7,54,5.4,3.6,0,19,2,20,0,0,0
21,Dan Herron,CIN,RB,4,1.3,5,1.3,1.7,0,6,0,0,0,0,0
22,Nate Eachus,KC,FB,5,0.5,18,3.6,1.6,0,7,0,0,0,0,0
23,Jorvorskie Lane,MIA,FB,13,0.8,13,1,0.8,2,4,5,38.5,0,0,1
24,Travaris Cadet,NO,RB,1,0.1,5,5,0.4,0,5,0,0,0,0,0
