Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
1,DeMarco Murray,DAL,RB,392,24.5,"1,845",4.7,115.3,13,51,85,21.7,15,3,3
2,Arian Foster,HOU,RB,260,20.0,"1,246",4.8,95.8,8,51,52,20.0,9,3,2
3,Le'Veon Bell,PIT,RB,290,18.1,"1,361",4.7,85.1,8,81,73,25.2,8,2,0
4,LeSean McCoy,PHI,RB,312,19.5,"1,319",4.2,82.4,5,53,67,21.5,9,1,3
5,Marshawn Lynch,SEA,RB,280,17.5,"1,306",4.7,81.6,13,79T,65,23.2,7,1,1
6,Justin Forsett,BAL,RB,235,14.7,"1,266",5.4,79.1,8,52,56,23.8,17,3,1
7,Adrian Peterson,MIN,RB,21,21.0,75,3.6,75.0,0,17,3,14.3,0,0,0
8,Mark Ingram,NO,RB,226,17.4,964,4.3,74.2,9,31,47,20.8,5,0,1
9,Eddie Lacy,GB,RB,246,15.4,"1,139",4.6,71.2,9,44T,58,23.6,8,1,3
10,Jeremy Hill,CIN,RB,222,13.9,"1,124",5.1,70.2,9,85T,61,27.5,8,3,4
11,Frank Gore,SF,RB,255,15.9,"1,106",4.3,69.1,4,52T,53,20.8,5,1,2
12,Jamaal Charles,KC,RB,206,13.7,"1,033",5.0,68.9,9,63T,50,24.3,6,2,4
13,Lamar Miller,MIA,RB,216,13.5,"1,099",5.1,68.7,8,97T,57,26.4,9,1,2
14,Alfred Morris,WAS,RB,265,16.6,"1,074",4.1,67.1,8,30,48,18.1,9,0,2
15,Matt Forte,CHI,RB,266,16.6,"1,038",3.9,64.9,6,32,63,23.7,1,0,1
16,Tre Mason,STL,RB,179,14.9,765,4.3,63.8,4,89T,37,20.7,6,1,2
17,Jonathan Stewart,CAR,RB,175,13.5,809,4.6,62.2,3,69T,42,24.0,4,1,2
18,Rashad Jennings,NYG,RB,167,15.2,639,3.8,58.1,4,18,38,22.8,0,0,0
19,Joique Bell,DET,RB,223,14.9,860,3.9,57.3,7,57,43,19.3,5,1,5
20,Stevan Ridley,NE,RB,94,15.7,340,3.6,56.7,2,43,16,17.0,1,1,0
21,C.J. Anderson,DEN,RB,179,11.9,849,4.7,56.6,8,27,47,26.3,7,0,0
22,LeGarrette Blount,NE,RB,60,12.0,281,4.7,56.2,3,34,14,23.3,4,0,0
23,Andre Ellington,ARI,RB,201,16.8,660,3.3,55.0,3,22,27,13.4,4,0,2
23,Ryan Mathews,SD,RB,74,12.3,330,4.5,55.0,3,32T,17,23.0,3,0,1
25,Ronnie Hillman,DEN,RB,106,13.2,434,4.1,54.2,3,37T,20,18.9,3,0,1
26,Giovani Bernard,CIN,RB,168,12.9,680,4.0,52.3,5,89T,32,19.0,2,1,0
27,Jonas Gray,NE,RB,89,11.1,412,4.6,51.5,5,20,26,29.2,1,0,0
28,Chris Ivory,NYJ,RB,198,12.4,821,4.1,51.3,6,71T,42,21.2,1,1,2
29,Knowshon Moreno,MIA,RB,31,10.3,148,4.8,49.3,1,15,8,25.8,0,0,0
30,Kerwynn Williams,ARI,RB,53,10.6,246,4.6,49.2,0,19,11,20.8,0,0,1
31,Jerick McKinnon,MIN,RB,113,10.3,538,4.8,48.9,0,55,21,18.6,4,1,0
32,Terrance West,CLE,RB,171,12.2,673,3.9,48.1,4,36,30,17.5,4,0,1
33,Steven Jackson,ATL,RB,190,12.7,707,3.7,47.1,6,55,37,19.5,2,1,0
34,Andre Williams,NYG,RB,217,13.6,721,3.3,45.1,7,50T,30,13.8,4,2,1
35,Doug Martin,TB,RB,134,12.2,494,3.7,44.9,2,63,23,17.2,2,2,0
36,Denard Robinson,JAC,RB,135,10.4,582,4.3,44.8,4,41,23,17.0,4,1,2
37,Ahmad Bradshaw,IND,RB,90,9.0,425,4.7,42.5,2,29,18,20.0,3,0,3
38,Branden Oliver,SD,RB,160,11.4,582,3.6,41.6,3,52,30,18.8,3,1,0
39,Chris Johnson,NYJ,RB,155,9.7,663,4.3,41.4,1,47,21,13.5,4,1,1
