Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
1,LeSean McCoy,PHI,RB,314,19.6,"1,607",5.1,100.4,9,57T,79,25.2,9,3,1
2,Adrian Peterson,MIN,RB,279,19.9,"1,266",4.5,90.4,10,78T,59,21.1,8,3,3
3,Jamaal Charles,KC,RB,259,17.3,"1,287",5.0,85.8,12,46,72,27.8,6,1,4
4,Matt Forte,CHI,RB,289,18.1,"1,339",4.6,83.7,9,55,74,25.6,9,4,2
5,DeMarco Murray,DAL,RB,217,15.5,"1,121",5.2,80.1,9,43,59,27.2,8,3,2
6,Alfred Morris,WAS,RB,276,17.2,"1,275",4.6,79.7,7,45T,57,20.7,10,1,5
7,Marshawn Lynch,SEA,RB,301,18.8,"1,257",4.2,78.6,12,43,68,22.6,6,1,3
8,Eddie Lacy,GB,RB,284,18.9,"1,178",4.1,78.5,11,60,61,21.5,3,2,1
9,Ryan Mathews,SD,RB,285,17.8,"1,255",4.4,78.4,6,51,54,18.9,7,2,2
10,Doug Martin,TB,RB,127,21.2,456,3.6,76.0,1,28,16,12.6,2,0,1
11,Reggie Bush,DET,RB,223,15.9,"1,006",4.5,71.9,4,39,46,20.6,6,0,5
12,Frank Gore,SF,RB,276,17.2,"1,128",4.1,70.5,9,51,55,19.9,9,1,3
13,Zac Stacy,STL,RB,250,17.9,973,3.9,69.5,7,40T,47,18.8,5,1,1
14,Arian Foster,HOU,RB,121,15.1,542,4.5,67.8,1,23,31,25.6,2,0,0
15,Chris Johnson,TEN,RB,279,17.4,"1,077",3.9,67.3,6,30T,54,19.4,5,0,2
16,Le'Veon Bell,PIT,RB,244,18.8,860,3.5,66.2,8,43,48,19.7,4,1,1
17,Knowshon Moreno,DEN,RB,241,15.1,"1,038",4.3,64.9,10,31,53,22.0,5,0,1
18,Vick Ballard,IND,RB,13,13.0,63,4.8,63.0,0,12,4,30.8,0,0,0
19,C.J. Spiller,BUF,RB,202,13.5,933,4.6,62.2,2,77,26,12.9,9,4,4
20,Ahmad Bradshaw,IND,RB,41,13.7,186,4.5,62.0,2,27,11,26.8,1,0,0
21,Andre Brown,NYG,RB,139,17.4,492,3.5,61.5,3,23T,31,22.3,1,0,3
22,Bobby Rainey,TB,RB,137,15.2,532,3.9,59.1,5,80T,23,16.8,3,2,1
23,Edwin Baker,CLE,RB,43,14.3,171,4.0,57.0,2,20,11,25.6,1,0,0
24,DeAngelo Williams,CAR,RB,201,13.4,843,4.2,56.2,3,43T,35,17.4,6,1,1
25,Fred Jackson,BUF,RB,206,12.9,890,4.3,55.6,9,59,54,26.2,1,1,2
26,Chris Ivory,NYJ,RB,182,12.1,833,4.6,55.5,3,69,34,18.7,8,2,2
27,Stevan Ridley,NE,RB,178,12.7,773,4.3,55.2,7,29,39,21.9,3,0,3
28,Ben Tate,HOU,RB,181,12.9,771,4.3,55.1,4,60,33,18.2,3,1,4
29,Maurice Jones-Drew,JAC,RB,234,15.6,803,3.4,53.5,5,48,43,18.4,5,2,1
30,Rashad Jennings,OAK,RB,163,10.9,733,4.5,48.9,6,80T,34,20.9,4,1,0
31,LeGarrette Blount,NE,RB,153,9.6,772,5.0,48.2,7,47T,35,22.9,5,1,3
32,BenJarvus Green-Ellis,CIN,RB,220,13.8,756,3.4,47.2,7,25,48,21.8,1,0,2
33,Rashard Mendenhall,ARI,RB,217,14.5,687,3.2,45.8,8,28,43,19.8,1,0,4
34,Steven Jackson,ATL,RB,157,13.1,543,3.5,45.2,6,50,26,16.6,3,1,0
35,Lamar Miller,MIA,RB,177,11.1,709,4.0,44.3,2,49,26,14.7,4,2,1
36,Ray Rice,BAL,RB,214,14.3,660,3.1,44.0,4,47,28,13.1,1,1,2
37,Bilal Powell,NYJ,RB,176,11.0,697,4.0,43.6,1,39,35,19.9,3,0,1
38,Andre Ellington,ARI,RB,118,7.9,652,5.5,43.5,3,80T,27,22.9,8,1,1
39,Giovani Bernard,CIN,RB,170,10.6,695,4.1,43.4,5,35T,32,18.8,3,0,1
40,Joique Bell,DET,RB,166,10.4,650,3.9,40.6,8,20,43,25.9,1,0,4
41,James Starks,GB,RB,89,6.8,493,5.5,37.9,3,41,27,30.3,6,1,1
