Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,LeGarrette Blount,TB,RB,201,15.5,1007,5,77.5,6,53,38,18.9,10,3,3
2,Chris Ivory,NO,RB,137,11.4,716,5.2,59.7,5,55T,44,32.1,5,1,4
3,Ryan Mathews,SD,RB,158,13.2,678,4.3,56.5,7,31T,25,15.8,4,0,4
4,Jahvid Best,DET,RB,171,10.7,555,3.2,34.7,4,45,25,14.6,3,1,1
5,James Starks,GB,RB,29,9.7,101,3.5,33.7,0,16,5,17.2,0,0,0
6,Jonathan Dwyer,PIT,RB,9,9,28,3.1,28,0,7,0,0,0,0,0
7,Toby Gerhart,MIN,RB,81,5.4,322,4,21.5,1,21,13,16,1,0,1
8,Joe McKnight,NYJ,RB,39,4.3,189,4.8,21,0,18,7,17.9,0,0,0
9,C.J. Spiller,BUF,RB,74,5.3,283,3.8,20.2,0,20,10,13.5,1,0,2
10,Keiland Williams,WAS,RB,65,4.3,261,4,17.4,3,32T,14,21.5,2,0,0
11,Anthony Dixon,SF,RB,70,4.4,237,3.4,14.8,2,34,11,15.7,1,0,0
12,Deji Karim,JAC,RB,35,3.2,160,4.6,14.5,0,15,8,22.9,0,0,1
13,Javarris James,IND,RB,46,4.6,112,2.4,11.2,6,11,9,19.6,0,0,0
14,Dimitri Nance,GB,RB,36,3,95,2.6,7.9,0,11,4,11.1,0,0,0
15,Keith Toston,STL,RB,19,1.2,54,2.8,3.4,0,10,2,10.5,0,0,0
16,John Conner,NYJ,RB,8,0.5,44,5.5,2.8,1,16T,2,25,0,0,0
17,Chris Gronkowski,DAL,FB,5,0.4,17,3.4,1.2,0,8,2,40,0,0,0
