Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,Jeremy Hill,CIN,RB,222,13.9,1124,5.1,70.2,9,85T,61,27.5,8,3,4
2,Tre Mason,STL,RB,179,14.9,765,4.3,63.8,4,89T,37,20.7,6,1,2
3,Jerick McKinnon,MIN,RB,113,10.3,538,4.8,48.9,0,55,21,18.6,4,1,0
4,Terrance West,CLE,RB,171,12.2,673,3.9,48.1,4,36,30,17.5,4,0,1
5,Andre Williams,NYG,RB,217,13.6,721,3.3,45.1,7,50T,30,13.8,4,2,1
6,Branden Oliver,SD,RB,160,11.4,582,3.6,41.6,3,52,30,18.8,3,1,0
7,Isaiah Crowell,CLE,RB,148,9.2,607,4.1,37.9,8,35,34,23,5,0,3
8,Bishop Sankey,TEN,RB,152,9.5,569,3.7,35.6,2,22,26,17.1,1,0,2
9,Alfred Blue,HOU,RB,169,10.6,528,3.1,33,2,46,29,17.2,2,1,0
10,Carlos Hyde,SF,RB,83,5.9,333,4,23.8,4,28,16,19.3,1,0,1
11,Charles Sims,TB,RB,66,8.2,185,2.8,23.1,1,20,10,15.2,1,0,2
12,Lorenzo Taliaferro,BAL,RB,68,5.2,292,4.3,22.5,4,31,17,25,3,0,1
13,Juwan Thompson,DEN,RB,54,3.6,272,5,18.1,3,47,17,31.5,2,1,1
14,Devonta Freeman,ATL,RB,65,4.1,248,3.8,15.5,1,31T,9,13.8,2,0,1
15,Storm Johnson,JAC,RB,29,4.8,86,3,14.3,2,20,5,17.2,1,0,0
16,Darrin Reaves,CAR,RB,31,5.2,78,2.5,13,0,9,3,9.7,0,0,0
17,James White,NE,RB,9,3,38,4.2,12.7,0,11,1,11.1,0,0,0
18,Ka'Deem Carey,CHI,RB,36,2.6,158,4.4,11.3,0,15,11,30.6,0,0,0
19,De'Anthony Thomas,KC,RB,14,1.2,113,8.1,9.4,1,26,4,28.6,1,0,0
20,Damien Williams,MIA,RB,36,2.2,122,3.4,7.6,0,19,6,16.7,0,0,0
21,Silas Redd,WAS,RB,16,1.1,75,4.7,5,1,14T,5,31.3,0,0,1
22,Marion Grice,ARI,RB,15,1.5,41,2.7,4.1,1,8,3,20,0,0,0
23,Dri Archer,PIT,RB,10,0.8,40,4,3.3,0,15,2,20,0,0,0
24,Josh Harris,PIT,RB,9,1.8,16,1.8,3.2,0,4,1,11.1,0,0,0
25,Orleans Darkwa,NYG,RB,5,0.7,21,4.2,3,1,12T,1,20,0,0,0
25,Zurlon Tipton,IND,RB,10,1.7,18,1.8,3,0,9,0,0,0,0,0
25,Fitzgerald Toussaint,BAL,RB,6,1.5,12,2,3,0,12,1,16.7,0,0,0
28,Trey Watts,STL,RB,7,0.5,30,4.3,2.1,0,9,2,28.6,0,0,0
29,Ray Agnew,CLE,FB,2,0.2,2,1,0.2,0,2,1,50,0,0,0
