Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Montee Ball,WISC,307,1954,31,1923,6.26,--,33
LaMichael James,ORE,247,1870,65,1805,7.31,--,18
Ronnie Hillman,SDSU,311,1784,73,1711,5.5,--,19
David Wilson,VT,290,1846,137,1709,5.89,--,9
Bobby Rainey,WKU,369,1810,115,1695,4.59,--,13
Trent Richardson,ALA,283,1740,61,1679,5.93,--,21
Robbie Rouse,FRES,329,1607,58,1549,4.71,--,13
Terrance Ganaway,BAY,250,1566,19,1547,6.19,--,21
John White IV,UTAH,316,1609,90,1519,4.81,--,15
Robert Turbin,USU,249,1538,21,1517,6.09,--,19
Chris Polk,WASH,293,1535,47,1488,5.08,--,12
Bernard Pierce,TEM,273,1518,37,1481,5.42,--,27
Branden Oliver,BUFF,306,1444,49,1395,4.56,--,13
Marcus Coker,IOWA,281,1417,33,1384,4.93,--,15
Chandler Harnish,NIU,194,1510,131,1379,7.11,--,11
Rex Burkhead,NEB,284,1406,49,1357,4.78,--,15
Stepfan Taylor,STAN,242,1363,33,1330,5.5,--,10
Isi Sofele,CAL,252,1382,60,1322,5.25,--,10
Doug Martin,BSU,263,1375,76,1299,4.94,--,16
Lamar Miller,MIA,227,1335,63,1272,5.6,--,9
Isaiah Pead,CINN,237,1338,79,1259,5.31,--,12
Giovani Bernard,UNC,239,1324,71,1253,5.24,--,13
Michael Dyer,AUB,242,1293,51,1242,5.13,--,10
Silas Redd,PSU,244,1262,21,1241,5.09,--,7
Zach Line,SMU,208,1256,32,1224,5.88,--,17
Joseph Randle,OKST,208,1248,32,1216,5.85,--,24
Zac Stacy,VAN,201,1267,74,1193,5.94,--,14
Vick Ballard,MSST,193,1228,39,1189,6.16,--,10
Alfred Morris,FAU,235,1238,52,1186,5.05,--,9
Andre Ellington,CLEM,223,1218,40,1178,5.28,--,11
Denard Robinson,MICH,221,1349,173,1176,5.32,--,16
Henry Josey,MIZZ,145,1191,23,1168,8.06,--,9
Lyle McCombs,CONN,275,1244,93,1151,4.19,--,7
Kedrick Rhodes,FIU,234,1194,45,1149,4.91,--,8
