Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
T.J. Yeldon,ALA,194,1012,33,979,5.05,31,11
Cameron Stingily,NIU,193,987,16,971,5.03,43,14
Don Jackson,NEV,216,1003,46,957,4.43,47,7
Jowan Davis,RICE,245,1022,66,956,3.9,54,6
Noah Copeland,NAVY,129,956,4,952,7.38,64t,5
Brandon Hayes,MEM,195,999,48,951,4.88,51t,5
Corey Clement,WISC,147,969,20,949,6.46,72t,9
Travis Greene,BGSU,180,985,36,949,5.27,75t,12
Akeem Hunt,PUR,173,1010,61,949,5.49,82t,6
Ray Lawry,ODU,135,968,21,947,7.01,68t,16
J.T. Barrett,OSU,171,1117,179,938,5.49,86t,11
Synjyn Days,GT,157,926,2,924,5.89,69t,9
Marcus Murphy,MIZZ,177,973,49,924,5.22,69,4
Aaron Green,TCU,129,942,20,922,7.15,65t,9
Todd Gurley,UGA,123,932,21,911,7.41,51t,9
Shadrach Thornton,NCST,164,935,28,907,5.53,58,9
Ralph Webb,VAN,212,950,43,907,4.28,28,4
Drew Hare,NIU,159,1025,125,900,5.66,78t,8
Jalen Hurd,TENN,190,938,39,899,4.73,43,5
Tyler Ervin,SJSU,159,949,58,891,5.6,89t,4
Tarean Folston,ND,175,911,22,889,5.08,26,6
Breon Allen,ECU,134,907,38,869,6.49,84,8
Jon Hilliman,BC,211,909,49,860,4.08,52,13
Zach Laskey,GT,171,853,2,851,4.98,26,9
Matt Jones,FLA,166,834,17,817,4.92,44t,6
Angel Santiago,ARMY,191,938,126,812,4.25,54t,10
Mark Weisman,IOWA,213,838,26,812,3.81,38,16
Teriyon Gipson,UNM,150,835,26,809,5.39,57,8
Alonzo Harris,ULL,172,829,22,807,4.69,54,12
Brian Hill,WYO,146,823,21,802,5.49,89,7
Zack Langer,TULS,196,816,15,801,4.09,34,4
Steward Butler,MRSH,107,804,6,798,7.46,83t,7
Nick Marshall,AUB,153,925,127,798,5.22,49,11
Fredi Knighten,ARST,210,1090,300,790,3.76,63,11
Rushel Shell,WVU,176,823,35,788,4.48,54t,7
A.J. Ouellette,OHIO,160,804,19,785,4.91,65t,7
Marquise Williams,UNC,193,1051,268,783,4.06,52t,13
Desmond Roland,OKST,203,804,34,770,3.79,33t,10
Reggie Whatley,MTSU,113,799,32,767,6.79,75t,7
Storm Woods,ORST,121,780,14,766,6.33,78t,5
