Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Melvin Gordon,WISC,343,2670,83,2587,7.54,88,29
Tevin Coleman,IND,270,2062,26,2036,7.54,90t,15
Donnel Pumphrey,SDSU,277,1904,31,1873,6.76,93t,20
Jay Ajayi,BSU,347,1900,77,1823,5.25,74,28
Devon Johnson,MRSH,206,1790,23,1767,8.58,75,17
James Conner,PITT,297,1799,35,1764,5.94,74,26
Samaje Perine,OKLA,263,1745,32,1713,6.51,66t,21
Duke Johnson,MIA,242,1691,39,1652,6.83,90t,10
Ezekiel Elliott,OSU,237,1679,47,1632,6.89,85t,14
Kareem Hunt,TOL,205,1650,19,1631,7.96,91t,16
David Cobb,MINN,315,1678,49,1629,5.17,67,13
Cameron Artis-Payne,AUB,303,1656,43,1613,5.32,37,13
Ameer Abdullah,NEB,264,1657,46,1611,6.1,57t,19
Jordan Howard,UAB,306,1643,56,1587,5.19,55t,13
Paul Perkins,UCLA,251,1618,43,1575,6.27,92t,9
Jarvion Franklin,WMU,306,1595,44,1551,5.07,61t,24
Nick Chubb,UGA,219,1594,47,1547,7.06,83t,14
Leon Allen,WKU,273,1580,44,1536,5.63,80t,13
Jeremy Langford,MSU,276,1565,43,1522,5.51,65,22
Devontae Booker,UTAH,292,1566,54,1512,5.18,76t,10
Matt Breida,GSU,171,1504,10,1494,8.74,88t,17
Javorius Allen,USC,276,1534,45,1489,5.39,53t,11
Marcus Cox,APST,255,1450,35,1415,5.55,76,19
Anthone Taylor,BUFF,282,1472,69,1403,4.98,76t,12
Nick Wilson,ARIZ,236,1393,18,1375,5.83,85t,16
Marteze Waller,FRES,225,1407,39,1368,6.08,76t,11
Royce Freeman,ORE,242,1367,24,1343,5.55,38t,18
Aaron Jones,UTEP,242,1374,50,1324,5.47,73t,11
Kenneth Dixon,LT,253,1383,84,1299,5.13,99t,22
Dee Hart,CSU,194,1312,37,1275,6.57,76t,16
Elijah McGuire,ULL,166,1285,21,1264,7.61,75t,14
Jahwan Edwards,BALL,262,1290,38,1252,4.78,56t,12
Shock Linwood,BAY,251,1284,41,1243,4.95,46,16
Josh Robinson,MSST,190,1238,35,1203,6.33,73t,11
Keenan Reynolds,NAVY,250,1390,199,1191,4.76,67t,23
Jonathan Williams,ARK,211,1222,32,1190,5.64,90t,12
Justin Jackson,NW,245,1216,29,1187,4.84,68t,10
Tyler Murphy,BC,180,1398,219,1179,6.55,71t,11
Larry Dixon,ARMY,191,1131,13,1118,5.85,58t,9
Daniel Lasco,CAL,210,1151,36,1115,5.31,50t,12
Kevin Ellison,GSU,171,1199,91,1108,6.48,52,12
Thomas Rawls,CMU,210,1135,30,1105,5.26,46,10
DeAndre Washington,TTU,188,1136,33,1103,5.87,72t,2
Larry Rose III,NMST,186,1160,58,1102,5.92,80t,9
Alex Collins,ARK,204,1165,65,1100,5.39,84t,12
Michael Gordon,ARST,159,1138,38,1100,6.92,70t,13
Robert Lowe,TXST,185,1118,27,1091,5.9,51,12
Justin Thomas,GT,190,1248,162,1086,5.72,65,8
Russell Hansbrough,MIZZ,205,1144,60,1084,5.29,78t,10
Jhurell Pressley,UNM,114,1121,38,1083,9.5,77t,12
D.J. Foster,AZST,194,1122,41,1081,5.57,57t,9
Jacobi Owens,AF,204,1082,28,1054,5.17,55,5
Cody Fajardo,NEV,177,1221,175,1046,5.91,60t,13
Marlon Mack,USF,202,1095,54,1041,5.15,75t,9
Kenneth Farrow,HOU,186,1081,44,1037,5.58,58,14
Leonard Fournette,LSU,187,1049,15,1034,5.53,89t,10
Dalvin Cook,FSU,170,1052,44,1008,5.93,44t,8
Derrick Henry,ALA,172,1025,35,990,5.76,49,11
Dak Prescott,MSST,210,1125,139,986,4.7,56t,14
Mike Davis,SCAR,199,1016,34,982,4.93,40,9
