Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Ray Lawry,ODU,194,1165,29,1136,5.86,57t,11
Ito Smith,USM,171,1156,28,1128,6.6,75t,10
Qadree Ollison,PITT,212,1158,37,1121,5.29,71t,11
Greg Ward Jr,HOU,197,1301,187,1114,5.65,47t,21
Demario Richard,AZST,210,1143,39,1104,5.26,61,7
Deshaun Watson,CLEM,206,1215,114,1101,5.34,63,12
Jalen Richard,USM,185,1113,15,1098,5.94,64t,14
Jacobi Owens,AF,206,1123,27,1096,5.32,65,7
Darius Jackson,EMU,208,1131,43,1088,5.23,63t,14
Anthony Wales,WKU,154,1093,7,1086,7.05,47t,9
Don Jackson,NEV,228,1122,43,1079,4.73,62,8
Saquon Barkley,PSU,182,1145,69,1076,5.91,56,7
Kenneth Dixon,LT,198,1144,71,1073,5.42,65t,19
Michael Gordon,ARST,168,1098,28,1070,6.37,73t,9
Jamauri Bogan,WMU,162,1080,29,1051,6.49,76t,16
Elijah McGuire,ULL,209,1083,36,1047,5.01,88t,13
Travon McMillian,VT,200,1099,56,1043,5.21,63,7
Jarveon Williams,UTSA,173,1088,49,1039,6.01,85t,8
C.J. Prosise,ND,157,1100,71,1029,6.55,91t,11
Kelvin Taylor,FLA,258,1104,76,1028,3.98,53,13
Chris Swain,NAVY,211,1038,15,1023,4.85,52t,10
Peyton Barber,AUB,237,1040,24,1016,4.29,36t,13
Devine Redding,IND,226,1075,63,1012,4.48,66t,9
Brandon Burks,TROY,201,1092,87,1005,5,92t,7
Chase Price,SDSU,189,1027,22,1005,5.32,56,6
Joseph Yearby,MIA,205,1042,40,1002,4.89,41t,6
Johnny Jefferson,BAY,136,1009,9,1000,7.35,80t,8
Quinton Flowers,USF,191,1107,116,991,5.19,67,12
Ronald Jones II,USC,153,1005,18,987,6.45,74t,8
Jordan Canzeri,IOWA,183,1029,45,984,5.38,75t,12
Kareem Hunt,TOL,178,1004,26,978,5.49,41t,12
Marquis Young,MASS,154,1017,44,973,6.32,83t,7
Kalif Phillips,CHAR,190,1028,61,967,5.09,39,5
Devante Mays,USU,165,1010,44,966,5.85,61,9
Brandon Ross,MD,150,1012,49,963,6.42,80t,10
Lamar Jackson,LOU,163,1188,228,960,5.89,73,11
Kenneth Farrow,HOU,185,975,17,958,5.18,44t,12
Xavier Johnson,USA,145,983,27,956,6.59,92t,7
Marquise Williams,UNC,158,1083,135,948,6,46,13
Terry Swanson,TOL,143,932,9,923,6.45,90,7
Conor Hundley,AKR,203,979,58,921,4.54,32t,10
Jhurell Pressley,UNM,147,967,46,921,6.27,75t,11
Marteze Waller,FRES,228,1010,90,920,4.04,64t,5
Robert Lowe,TXST,175,960,45,915,5.23,59,7
Justin Davis,USC,169,946,44,902,5.34,43,7
Markell Jones,PUR,168,882,7,875,5.21,68t,10
Dalyn Dawkins,CSU,170,910,43,867,5.1,42,2
Matt Dayes,NCST,134,883,18,865,6.46,85t,12
Stanley Williams,KY,121,924,69,855,7.07,75t,6
Teriyon Gipson,UNM,147,861,11,850,5.78,79t,6
Jeffery Wilson,UNT,154,864,25,839,5.45,43,1
Josh Adams,ND,116,869,31,838,7.22,98t,6
D'Angelo Brewer,TULS,162,854,17,837,5.17,48t,6
Anthone Taylor,BUFF,186,848,14,834,4.48,29,3
Fred Coppet,BGSU,146,846,20,826,5.66,62,5
Dare Ogunbowale,WISC,194,870,51,819,4.22,35t,7
Alfred Ramsby,GSU,165,843,27,816,4.95,46t,13
Jordan Johnson,BUFF,172,856,45,811,4.72,48,12
Thomas Sirk,DUKE,163,883,74,809,4.96,73t,8
Lamar Jordan,UNM,147,940,133,807,5.49,70t,9
Jared Baker,ARIZ,131,813,15,798,6.09,79t,9
