Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD
Derrick Henry,ALA,395,2282,63,2219,5.62,74t,28
Christian McCaffrey,STAN,337,2065,46,2019,5.99,70t,8
Leonard Fournette,LSU,300,2045,92,1953,6.51,87t,22
Royce Freeman,ORE,283,1889,51,1838,6.49,64t,17
Ezekiel Elliott,OSU,289,1874,53,1821,6.3,80t,23
Dalvin Cook,FSU,229,1749,58,1691,7.38,94t,19
Larry Rose III,NMST,239,1719,62,1657,6.93,82,14
Donnel Pumphrey,SDSU,310,1741,85,1656,5.34,72t,17
Brian Hill,WYO,281,1681,50,1631,5.8,72t,6
Matt Breida,GSU,203,1653,50,1603,7.9,87t,17
Tyler Ervin,SJSU,294,1661,60,1601,5.45,71t,13
Alex Collins,ARK,271,1643,66,1577,5.82,80t,20
Wendell Smallwood,WVU,238,1549,30,1519,6.38,52,9
Wayne Gallman,CLEM,282,1552,38,1514,5.37,66t,13
DeAndre Washington,TTU,232,1516,21,1495,6.44,80t,14
Elijah Hood,UNC,218,1488,25,1463,6.71,67,17
Marcus Cox,APST,243,1481,53,1428,5.88,74,9
Justin Jackson,NW,312,1468,50,1418,4.54,62,5
Marlon Mack,USF,210,1418,37,1381,6.58,59,8
Keenan Reynolds,NAVY,265,1537,164,1373,5.18,67,24
Samaje Perine,OKLA,226,1375,26,1349,5.97,72t,16
James Butler,NEV,208,1379,34,1345,6.47,91,10
Paul Perkins,UCLA,237,1394,51,1343,5.67,82t,14
Mike Warren,IAST,227,1366,27,1339,5.9,76t,5
Jeremy McNichols,BSU,240,1427,90,1337,5.57,88t,20
Shock Linwood,BAY,196,1362,33,1329,6.78,79t,10
Myles Gaskin,WASH,227,1348,46,1302,5.74,86t,14
Travis Greene,BGSU,222,1323,25,1298,5.85,52,15
Jalen Hurd,TENN,277,1353,68,1285,4.64,48,12
Joel Bouagnon,NIU,283,1323,39,1284,4.54,58t,18
Aaron Green,TCU,245,1321,48,1273,5.2,86t,11
Jahad Thomas,TEM,276,1385,123,1262,4.57,60t,17
Devontae Booker,UTAH,268,1297,36,1261,4.71,62t,11
Jordan Howard,IND,196,1229,16,1213,6.19,37t,9
Tra Carson,TAMU,242,1209,44,1165,4.81,55,7
Sony Michel,UGA,219,1201,40,1161,5.3,66,8
Elijhaa Penny,IDHO,245,1173,14,1159,4.73,68,10
Ralph Webb,VAN,277,1204,52,1152,4.16,74t,5
Paul Harris,HAW,198,1176,33,1143,5.77,95t,6
