Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,Eddie Lacy,GB,RB,284,18.9,1178,4.1,78.5,11,60,61,21.5,3,2,1
2,Zac Stacy,STL,RB,250,17.9,973,3.9,69.5,7,40T,47,18.8,5,1,1
3,Le'Veon Bell,PIT,RB,244,18.8,860,3.5,66.2,8,43,48,19.7,4,1,1
4,Andre Ellington,ARI,RB,118,7.9,652,5.5,43.5,3,80T,27,22.9,8,1,1
5,Giovani Bernard,CIN,RB,170,10.6,695,4.1,43.4,5,35T,32,18.8,3,0,1
6,Mike James,TB,RB,60,7.5,295,4.9,36.9,0,24,14,23.3,2,0,0
7,Montee Ball,DEN,RB,120,7.5,559,4.7,34.9,4,45,35,29.2,3,1,2
8,Dennis Johnson,HOU,RB,49,6.1,183,3.7,22.9,0,29,8,16.3,1,0,0
9,Khiry Robinson,NO,RB,54,5.4,224,4.1,22.4,1,25,12,22.2,3,0,0
10,Christine Michael,SEA,RB,18,4.5,79,4.4,19.8,0,13,5,27.8,0,0,0
11,Benny Cunningham,STL,RB,47,3.4,261,5.6,18.6,1,56,11,23.4,2,1,2
12,Knile Davis,KC,RB,70,4.4,242,3.5,15.1,4,20,10,14.3,1,0,1
13,Joseph Randle,DAL,RB,54,4.2,164,3,12.6,2,19,7,13,0,0,0
14,Johnathan Franklin,GB,RB,19,1.7,107,5.6,9.7,1,51,7,36.8,1,1,2
15,Ray Graham,HOU,RB,4,4,8,2,8,0,4,0,0,0,0,0
16,C.J. Anderson,DEN,RB,7,1.4,38,5.4,7.6,0,11,3,42.9,0,0,0
17,Stepfan Taylor,ARI,RB,36,2.2,115,3.2,7.2,0,15,6,16.7,0,0,0
18,Mike Gillislee,MIA,RB,6,2,21,3.5,7,0,6,1,16.7,0,0,0
19,Spencer Ware,SEA,RB,3,1.5,10,3.3,5,0,5,1,33.3,0,0,0
20,Denard Robinson,JAC,RB,20,1.2,66,3.3,4.1,0,24,3,15,1,0,3
21,Tommy Bohanon,NYJ,FB,17,1.1,62,3.6,3.9,0,8,4,23.5,0,0,0
22,Michael Hill,TB,RB,9,1.5,23,2.6,3.8,0,10,1,11.1,0,0,0
23,Michael Cox,NYG,RB,22,1.6,43,2,3.1,0,9,1,4.5,0,0,0
24,Ronnie Wingo,BUF,RB,1,0.5,4,4,2,0,4,0,0,0,0,0
25,Theo Riddick,DET,RB,9,0.6,25,2.8,1.8,1,7,2,22.2,0,0,0
26,Kenjon Barner,CAR,RB,6,0.8,7,1.2,0.9,0,2,0,0,0,0,0
